name	brocken
health	550
speed	9
type	enemy
shadow  0
throw         5 2
grabdistance	40
paingrab 1
grabfinish 1
gfxshadow  1
falldie 2
nodieblink      1
dust du
aggression      30
diesound	data/chars/brocken/die.wav
aimove chase
aimove wander
thold 35
blockodds 1
escapehits 3
bflash bflash
projectilehit   enemy obstacle trap
icon	data/chars/brocken/icon2.gif
hostile player 
candamage player obstacle
subject_to_wall 0

load	rocket
load	endd

animationscript 	data/scripts/ani0020.h

palette   data/chars/brocken/idle.gif

anim spawn
	loop	0
      delay   5
	offset	75 170
      landframe 34 dus
      @cmd    degravity 0.9
      sound	data/chars/brocken/at13.wav
      frame	data/chars/brocken/spawn1.gif
      frame	data/chars/brocken/spawn2.gif
      frame	data/chars/brocken/spawn1.gif
      sound	data/chars/brocken/at13.wav
      frame	data/chars/brocken/spawn2.gif
      frame	data/chars/brocken/spawn1.gif
      frame	data/chars/brocken/spawn2.gif
      sound	data/chars/brocken/at13.wav
      frame	data/chars/brocken/spawn1.gif
      frame	data/chars/brocken/spawn2.gif
      frame	data/chars/brocken/spawn1.gif
      sound	data/chars/brocken/at13.wav
      frame	data/chars/brocken/spawn2.gif
      frame	data/chars/brocken/spawn1.gif
      frame	data/chars/brocken/spawn2.gif
      sound	data/chars/brocken/at13.wav
      frame	data/chars/brocken/spawn1.gif
      frame	data/chars/brocken/spawn2.gif
      frame	data/chars/brocken/spawn1.gif
      sound	data/chars/brocken/at13.wav
      frame	data/chars/brocken/spawn2.gif
      frame	data/chars/brocken/spawn1.gif
      frame	data/chars/brocken/spawn2.gif
      sound	data/chars/brocken/at13.wav
      frame	data/chars/brocken/spawn1.gif
      frame	data/chars/brocken/spawn2.gif
      frame	data/chars/brocken/spawn1.gif
      sound	data/chars/brocken/at13.wav
      frame	data/chars/brocken/spawn2.gif
      frame	data/chars/brocken/spawn1.gif
      frame	data/chars/brocken/spawn2.gif
      sound	data/chars/brocken/at13.wav
      frame	data/chars/brocken/spawn1.gif
      frame	data/chars/brocken/spawn2.gif
      frame	data/chars/brocken/spawn1.gif
      sound	data/chars/brocken/at13.wav
      frame	data/chars/brocken/spawn2.gif
      frame	data/chars/brocken/spawn1.gif
      frame	data/chars/brocken/spawn2.gif
      sound	data/chars/brocken/at13.wav
      frame	data/chars/brocken/spawn1.gif
      frame	data/chars/brocken/spawn2.gif
      frame	data/chars/brocken/spawn1.gif
      @cmd    degravity -1
      delay   40
      frame	data/chars/brocken/spawn3.gif
      sound data/sounds/step.wav
      delay   12
      @cmd    degravity 0
      frame	data/chars/brocken/j1.gif
      frame	data/chars/brocken/aaa1.gif

anim idle
	loop	1
	delay	12
      offset	75 170
      bbox	55 78 47 80
      @cmd    clearL
      frame	data/chars/brocken/idle.gif
      frame	data/chars/brocken/idle1.gif
      frame	data/chars/brocken/idle2.gif
      frame	data/chars/brocken/idle3.gif
      frame	data/chars/brocken/idle4.gif
      frame	data/chars/brocken/idle3.gif
      frame	data/chars/brocken/idle2.gif
      frame	data/chars/brocken/idle1.gif
      frame	data/chars/brocken/idle5.gif
      frame	data/chars/brocken/idle6.gif
      frame	data/chars/brocken/idle7.gif
      frame	data/chars/brocken/idle8.gif
      
anim walk
	loop	1
      delay   10
	offset	75 170
	bbox	55 78 50 80
	frame	data/chars/brocken/w8.gif
      move -3
	frame	data/chars/brocken/w1.gif
	frame	data/chars/brocken/w2.gif
      move 0
	frame	data/chars/brocken/w3.gif
	frame	data/chars/brocken/w4.gif
      move -3
      frame	data/chars/brocken/w5.gif
	frame	data/chars/brocken/w6.gif
      move 0
	frame	data/chars/brocken/w7.gif

anim backwalk
	loop	1
      delay   10
	offset	75 170
	bbox	55 78 50 80
	frame	data/chars/brocken/w7.gif
      move 3
	frame	data/chars/brocken/w6.gif
	frame	data/chars/brocken/w5.gif
      move 0
	frame	data/chars/brocken/w4.gif
	frame	data/chars/brocken/w3.gif
      move 3
      frame	data/chars/brocken/w2.gif
	frame	data/chars/brocken/w1.gif
      move 0
	frame	data/chars/brocken/w8.gif

anim BLOCK
      loop	0
	delay	5
	offset	75 170
	bbox	55 78 47 80
	frame	data/chars/brocken/bl2.gif
      frame	data/chars/brocken/bl2.gif
      delay	2
      offset	78 170
	frame	data/chars/brocken/bl2.gif
      offset	75 170
      frame	data/chars/brocken/bl2.gif
      offset	72 170
